,adj_avg_xg1_home,adj_avg_xg2_home,xwin1_home,xdraw_home,xwin2_home,shots1_home,shots2_home,shotsot1_home,shotsot2_home,corners1_home,corners2_home,xpts1_home,xpts2_home,xgshot1_home,convrate1_home,adj_avg_xg1_away,adj_avg_xg2_away,xwin1_away,xdraw_away,xwin2_away,shots1_away,shots2_away,shotsot1_away,shotsot2_away,corners1_away,corners2_away,xpts1_away,xpts2_away,A,H,score1_similar,score2_similar,spi_diff,avg_xg_diff,avg_xg_diff_home,avg_xg_diff_away,score1,score2,upper_home_outlier,lower_home_outlier,upper_away_outlier,lower_away_outlier
3552,2.54721718622863,0.8597932957996139,0.66335277888677,0.17253512808026253,0.16292327527406028,17.323491661179393,8.661557670907433,6.992299988616409,2.824820162536011,6.523050339253732,3.0919367438972283,2.1625934647405725,0.6613049539024433,0.13991461881855666,0.18076993922310566,1.0604503763865694,1.1869754073191825,0.369987838574276,0.2581245956564861,0.37187458084562297,10.653112602350523,13.069839948898515,3.704897031080704,4.73092261427216,4.308065743727571,4.659167605343988,1.3680881113793142,1.3737483381933548,0.03,0.77,3.0,0.74,27.570000000000007,3.6783589926937923,1.5243219466900437,-0.18367347427652359,1.0,4.0,1,0,0,0
3568,2.4739524883057418,1.1927283398538353,0.6399407629114182,0.1596379826332142,0.19942646637416095,18.25857047197437,10.909823056540484,7.3234542118626464,4.078416333235733,7.064765707688588,3.689748327945855,2.0794602713674686,0.7579173817556971,0.1499336813436499,0.1473424555886902,1.3667090645090425,1.5349233698579037,0.33702735267865697,0.22340492282370145,0.4392680727403132,11.465803053183675,12.218787518173482,4.1326526497346565,4.419494195298922,4.026393346168764,5.383444774468412,1.2344869808596726,1.5412091410446405,0.04,0.74,2.89,0.78,21.27000000000001,4.018523823318504,1.3113594556118489,-0.19914046280843478,6.0,0.0,1,0,0,0
3569,1.2215983343135448,1.2851159768443203,0.3764384201310918,0.2487799363183612,0.3747179887445376,8.156501392317557,9.833283410406748,3.737906765956064,4.322752181033913,5.075362988214544,4.7667835883196465,1.3780951967116364,1.3729339025519736,0.1502366537832461,0.18443904053900187,2.186132286136077,0.5835747776767972,0.7106384785247805,0.18663061374814008,0.1023619566212428,12.41101236963692,5.641778974017197,5.992965255619401,2.2624675474233373,6.770901871494278,3.578040692087725,2.3185460493224817,0.4937164836118685,0.68,0.13,0.83,2.17,-32.51,1.7068083925657778,-0.006322434404181232,1.5182621245455001,0.0,1.0,0,0,1,1
3575,2.507122556460667,0.8581816225326283,0.6530927403599169,0.17213715832551846,0.1736667469955331,16.86328489760594,11.326977967126133,6.846628522729398,3.3578733737517235,6.807956444685669,4.121897410544235,2.131415379405269,0.6931373993121177,0.14591595438244784,0.1860985670712396,1.195168740867807,1.154945434035204,0.405990155793064,0.2575784665856401,0.3363816457228158,12.625248546595072,11.230071907042547,4.290164324431931,3.926000167199226,5.3958646974908335,4.865390766645076,1.4755489339648318,1.2667234037540875,0.04,0.83,2.8,0.57,26.739999999999995,3.4977644083537562,1.437835299665441,-0.020785436802410073,0.0,2.0,1,0,0,0
3605,1.1758295849466278,1.4497035984808828,0.3683694031105183,0.2532054107562384,0.3783968314881199,11.754726912385182,12.946486385777217,4.0445559299841385,4.4880341586506765,5.953364246652082,5.342246853198109,1.3583136200877932,1.388395905220598,0.1098311026139198,0.08090497025142196,2.5210677195139395,0.7170693968424836,0.7044763598263672,0.17169223354608826,0.12324911598444525,17.627107939888297,6.1080903279203005,6.994361645359764,2.3316863267199324,7.390781907441465,2.7337227950350482,2.28512131302519,0.541439581499424,0.72,0.11,0.92,2.24,-29.629999999999995,1.9438823120535573,-0.1537611025820671,1.6930872004149624,0.0,1.0,0,0,1,0
3611,1.0580022178755648,1.5378133291443743,0.29320302642179835,0.22282001379702165,0.483900554810813,10.883568813504722,14.032683738613601,3.2935819118568586,4.6697550067733635,4.91675406745304,4.947660442911371,1.102429093062417,1.6745216782294607,0.10959372903491996,0.1150002217420504,2.557532445514916,0.9869679710380949,0.6252419082504258,0.17927249865802775,0.19155747786479746,15.242255473140382,11.829110433171218,7.287601230202646,3.680854240610672,5.678298474078642,4.029043299519273,2.0549982234093047,0.7539449322524201,0.71,0.09,0.83,2.3,-26.510000000000005,2.1491400681747432,-0.560523545466878,1.473426964705465,5.0,4.0,0,0,1,0
3612,2.0195535452110382,0.6245628841312438,0.7071251254133776,0.17886206878777686,0.11395965000158526,11.96111308143433,5.533970188281577,6.923321926688246,2.37869840515786,7.568685088417947,3.6599420218263865,2.3002374450279097,0.5207410187925324,0.18312507152583307,0.1964890663402009,0.8568412999336947,1.3267984718593369,0.2570712864166489,0.2672253233093619,0.4756778066587074,7.338129308874133,9.261697334663511,3.3891000055531877,4.661421541664374,5.256818980959164,5.1393103640872315,1.0384391825593084,1.694258743285484,0.06,0.88,2.6,0.49,40.81999999999999,3.15369665370406,1.322359582892294,-0.4313891675645273,1.0,0.0,1,1,0,0
3625,1.3972016474802798,1.4450928733460817,0.3788735847799171,0.22407288398852745,0.39678941105749305,12.537522291017204,13.034562007548688,4.517158948473275,4.119922807823172,4.712399584033413,5.845811257658622,1.3606936383282786,1.4144411171610067,0.12013048758039205,0.12936327541204454,2.4988321989127678,1.172397656403258,0.6430906586722663,0.16034344163843214,0.19560576262453447,18.141928262898773,10.684356948845485,7.442439729813649,3.9974206653558095,7.051000693856831,3.607521570323746,2.089615417655231,0.7471607295120357,0.59,0.2,1.09,2.2,-19.17,2.5088983977297716,-0.16699274724813384,1.3060473949804206,2.0,2.0,0,0,1,0
3635,0.9918986355476735,1.3260856278815514,0.34182903137537723,0.2593585432683578,0.3987079090124031,11.866162009809749,11.869521468946884,3.4060368137489037,4.169555012699407,5.349184867339692,4.793561248075641,1.2848456373944896,1.4554822703055668,0.09277005729282113,0.06528209851510995,2.4470994215069948,0.8634072321037516,0.6411206296572031,0.17667393797192338,0.1811326792128304,16.76081734298003,11.336301896746654,6.795417246384092,3.3086853833643413,6.801751232474673,4.259368965398862,2.1000358269435324,0.7200719756104146,0.76,0.11,0.74,2.33,-38.42999999999999,2.005730958866572,-0.10965861304905622,1.4004054606039928,0.0,0.0,0,0,1,0
3640,2.5901790613520825,1.0734021173004036,0.6104137085877346,0.1783073520427207,0.2074380943523084,15.349926304067413,11.90036170247917,7.257632805922787,3.814767795571813,5.774213586485272,3.9901929462009,2.0095484778059247,0.800621635099646,0.16230271408236255,0.1851487744388163,1.5389723379094524,1.300188239957495,0.4221845676724371,0.2360575553892515,0.3412034568188804,13.482955129500846,9.995327376925967,4.454064760801158,3.892476440647828,5.861869817561398,4.453844060505879,1.5026112584065632,1.259667925845893,0.08,0.72,2.36,0.85,13.180000000000007,3.767320216122842,1.4507940024600499,0.25154682104336556,1.0,0.0,1,0,0,0
